year,rounds_compared,ham_quali_wins,teammate_quali_wins,ties,avg_delta_s,median_delta_s,teammate_driverId
2007,0,0,0,0,,,alonso
2008,0,0,0,0,,,kovalainen
2009,0,0,0,0,,,kovalainen
2010,0,0,0,0,,,button
2011,0,0,0,0,,,button
2012,0,0,0,0,,,button
2013,0,0,0,0,,,rosberg
2014,0,0,0,0,,,rosberg
2015,0,0,0,0,,,rosberg
2016,0,0,0,0,,,rosberg
2017,0,0,0,0,,,bottas
2018,0,0,0,0,,,bottas
2019,0,0,0,0,,,bottas
2020,0,0,0,0,,,bottas
2021,0,0,0,0,,,bottas
2022,0,0,0,0,,,russell
2023,0,0,0,0,,,russell
2024,0,0,0,0,,,russell
2025,0,0,0,0,,,leclerc
