year,round_cutoff,gp_name_cutoff,gp_date_cutoff,hamilton_rank,hamilton_points,leader_points,points_behind,pct_of_leader,wins_to_date,podiums_to_date,poles_to_date,dnf_to_date,races_started,races_scored_pct,race_scored_pct_main,weekend_scored_pct,zero_point_weekends_to_date,constructor_id,teammate_points_to_date,teammate_gap
2007,11,Hungarian Grand Prix,2007-08-05,1,80.0,80.0,0.0,1.0,3,5,0,0,5,1.0,1.0,2.0,1,mclaren,73.0,7.0
2008,11,Hungarian Grand Prix,2008-08-03,1,62.0,62.0,0.0,1.0,4,3,1,0,5,0.8,0.8,1.6,3,mclaren,38.0,24.0
2009,10,Hungarian Grand Prix,2009-07-26,8,19.0,70.0,51.0,0.2714285714285714,1,0,0,0,5,0.6,0.6,0.8,6,mclaren,9.0,10.0
2010,12,Hungarian Grand Prix,2010-08-01,2,157.0,161.0,4.0,0.9751552795031055,2,2,0,0,4,1.0,1.0,2.5,2,mclaren,147.0,10.0
2011,11,Hungarian Grand Prix,2011-07-31,3,146.0,234.0,88.0,0.6239316239316239,2,3,0,0,5,1.0,1.0,2.0,1,mclaren,134.0,12.0
2012,11,Hungarian Grand Prix,2012-07-29,4,117.0,164.0,47.0,0.7134146341463414,2,3,3,0,4,1.0,1.0,2.25,2,mclaren,76.0,41.0
2013,10,Hungarian Grand Prix,2013-07-28,4,124.0,172.0,48.0,0.7209302325581395,1,2,1,0,5,0.8,0.8,1.8,1,mercedes,84.0,40.0
2014,11,Hungarian Grand Prix,2014-07-27,2,191.0,202.0,11.0,0.9455445544554455,5,4,4,1,5,0.8,0.8,1.8,2,mercedes,202.0,-11.0
2015,10,Hungarian Grand Prix,2015-07-26,1,202.0,202.0,0.0,1.0,5,5,5,0,5,1.0,1.0,2.0,0,mercedes,181.0,21.0
2016,12,German Grand Prix,2016-07-31,1,217.0,217.0,0.0,1.0,6,3,3,0,4,1.0,1.0,2.75,1,mercedes,198.0,19.0
2017,11,Hungarian Grand Prix,2017-07-30,2,188.0,202.0,14.0,0.9306930693069307,4,4,3,0,5,1.0,1.0,2.2,0,mercedes,169.0,19.0
2018,12,Hungarian Grand Prix,2018-07-29,1,213.0,213.0,0.0,1.0,5,4,2,0,5,1.0,1.0,2.2,1,mercedes,132.0,81.0
2019,12,Hungarian Grand Prix,2019-08-04,1,250.0,250.0,0.0,1.0,8,5,2,0,5,1.0,1.0,2.4,0,mercedes,188.0,62.0
2020,3,Hungarian Grand Prix,2020-07-19,1,63.0,63.0,0.0,1.0,2,2,2,0,3,1.0,1.0,1.0,0,mercedes,58.0,5.0
2021,11,Hungarian Grand Prix,2021-08-01,1,195.0,195.0,0.0,1.0,4,4,2,0,5,1.0,1.0,2.0,1,mercedes,108.0,87.0
2022,13,Hungarian Grand Prix,2022-07-31,6,146.0,258.0,112.0,0.5658914728682171,0,1,0,0,5,0.8,0.8,2.4,1,mercedes,158.0,-12.0
2023,12,Belgian Grand Prix,2023-07-30,4,148.0,314.0,166.0,0.4713375796178344,0,1,0,0,5,1.0,1.0,2.4,0,mercedes,99.0,49.0
2024,14,Belgian Grand Prix,2024-07-28,6,150.0,277.0,127.0,0.5415162454873647,2,0,0,1,5,0.8,0.8,2.6,1,mercedes,116.0,34.0
2025,14,Hungarian Grand Prix,2025-08-03,6,109.0,284.0,175.0,0.38380281690140844,0,0,0,0,5,0.8,0.8,2.6,1,ferrari,151.0,-42.0
